order_id,order_date,area,restaurant_type,distance_km,prep_time_min,delivery_time_min,order_value,rating,payment_mode
ORD1109,2026-08-28,Velachery,Fast Food,5.6,10.0,31.0,118,4.6,UPI
ORD1115,2026-08-29,Velachery,Fast Food,4.2,18.0,42.0,159,4.5,UPI
ORD1045,2026-08-12,Adyar,South Indian,5.8,30.0,53.0,217,5.0,UPI
ORD1047,2026-08-12,Velachery,Fast Food,5.4,19.0,41.0,225,50.0,Card
ORD1004,2026-08-02,Velachery,Desserts,3.2,18.0,28.0,237,4.5,UPI
ORD1012,2026-08-04,Adyar,South Indian,5.9,22.0,43.0,291,,Cash
ORD1105,2026-08-27,Velachery,South Indian,6.1,21.0,43.0,327,4.9,Cash
ORD1095,2026-08-24,Adyar,Desserts,2.2,17.0,29.0,214,,UPI
ORD1086,2026-08-22,T Nagar,Fast Food,5.9,13.0,31.0,165,5.0,Card
ORD1101,2026-08-26,OMR,Biryani,9.5,32.0,62.0,325,,Card
ORD1057,2026-08-15,OMR,Fast Food,4.1,25.0,43.0,291,5.0,UPI
ORD1089,2026-08-23,OMR,Fast Food,4.2,19.0,41.0,159,4.9,Card
ORD1080,2026-08-21,OMR,Chinese,5.4,12.0,35.0,231,4.6,Wallet
ORD1009,2026-08-03,Adyar,North Indian,2.6,19.0,35.0,114,4.6,Card
ORD1091,2026-08-23,T Nagar,Biryani,8.4,29.0,56.0,468,,UPI
ORD1092,2026-08-24,T Nagar,Chinese,1.5,22.0,31.0,131,5.0,UPI
ORD1104,2026-08-27,T Nagar,Chinese,4.9,11.0,28.0,179,,Card
ORD1084,2026-08-22,OMR,Biryani,3.6,26.0,39.0,281,5.0,UPI
ORD1027,2026-08-07,T Nagar,Biryani,6.6,16.0,40.0,516,4.9,UPI
ORD1067,2026-08-17,Adyar,North Indian,1.9,8.0,20.0,230,5.0,UPI
ORD1111,2026-08-28,OMR,Biryani,5.4,23.0,37.0,488,5.0,Wallet
ORD1040,2026-08-11,Velachery,Chinese,6.6,17.0,39.0,301,4.9,Cash
ORD1102,2026-08-26,T Nagar,Fast Food,7.1,,40.0,358,5.0,UPI
ORD1036,2026-08-10,Adyar,Fast Food,3.8,16.0,31.0,216,5.0,Wallet
ORD1077,2026-08-20,T Nagar,Chinese,4.3,24.0,42.0,343,,UPI
ORD1097,2026-08-25,Anna Nagar,South Indian,5.7,20.0,42.0,245,4.6,UPI
ORD1098,2026-08-25,Velachery,Biryani,5.3,25.0,46.0,381,5.0,UPI
ORD1083,2026-08-21,OMR,Fast Food,4.5,16.0,240.0,178,5.0,UPI
ORD1030,2026-08-08,OMR,Chinese,5.0,23.0,38.0,158,5.0,UPI
ORD1068,2026-08-18,Anna Nagar,Biryani,5.7,24.0,41.0,476,5.0,Cash
ORD1013,2026-08-04,OMR,Chinese,5.3,29.0,48.0,140,4.3,Cash
ORD1031,2026-08-08,OMR,Desserts,,25.0,38.0,167,4.3,UPI
ORD1061,2026-08-16,T Nagar,South Indian,3.6,10.0,26.0,164,5.0,UPI
ORD1055,2026-08-14,Adyar,North Indian,2.8,10.0,18.0,155,4.8,UPI
ORD1011,2026-08-03,Adyar,Biryani,2.2,17.0,32.0,290,5.0,Card
ORD1073,2026-08-19,Velachery,North Indian,6.7,14.0,,340,5.0,UPI
ORD1050,2026-08-13,OMR,Biryani,5.2,29.0,51.0,339,5.0,Card
ORD1088,2026-08-23,Velachery,Biryani,5.5,27.0,43.0,364,,UPI
ORD1032,2026-08-09,Velachery,Chinese,6.0,16.0,37.0,184,4.4,Wallet
ORD1114,2026-08-29,Adyar,Fast Food,3.2,19.0,33.0,120,5.0,UPI
ORD1118,2026-08-30,Adyar,Chinese,7.9,13.0,39.0,303,,UPI
ORD1016,2026-08-05,Adyar,North Indian,5.4,15.0,36.0,195,5.0,UPI
ORD1094,2026-08-24,Adyar,North Indian,4.4,23.0,36.0,180,5.0,Wallet
ORD1085,2026-08-22,OMR,Chinese,1.1,13.0,22.0,234,5.0,Card
ORD1046,2026-08-12,OMR,Chinese,2.6,22.0,29.0,335,5.0,Card
ORD1071,2026-08-18,O.M.R,Biryani,3.2,19.0,30.0,476,5.0,UPI
ORD1070,2026-08-18,T Nagar,Fast Food,5.0,20.0,45.0,304,5.0,Card
ORD1119,2026-08-30,Velachery,Biryani,4.4,21.0,,341,5.0,UPI
ORD1082,2026-08-21,Anna Nagar,South Indian,8.0,22.0,44.0,244,4.2,Cash
ORD1108,2026-08-28,Anna Nagar,Fast Food,5.6,22.0,,186,4.4,Wallet
ORD1018,2026-08-05,velachery,Desserts,6.5,17.0,39.0,215,4.6,UPI
ORD1064,2026-08-17,T Nagar,North Indian,5.5,,37.0,215,5.0,Cash
ORD1117,2026-08-30,Velachery,North Indian,8.5,13.0,45.0,262,4.7,Cash
ORD1054,2026-08-14,T Nagar,Biryani,5.3,29.0,50.0,350,4.5,Cash
ORD1028,2026-08-08,T Nagar,Fast Food,4.6,16.0,31.0,332,5.0,UPI
ORD1078,2026-08-20,Velachery,Desserts,6.9,19.0,47.0,272,4.3,Cash
ORD1110,2026-08-28,Velachery,North Indian,5.5,14.0,39.0,239,,UPI
ORD1049,2026-08-13,Anna Nagar,Fast Food,1.8,6.0,14.0,229,,Card
ORD1113,2026-08-29,Anna Nagar,Desserts,5.9,24.0,42.0,286,,UPI
ORD1037,2026-08-10,Velachery,Fast Food,7.0,23.0,51.0,268,4.9,UPI
ORD1048,2026-08-13,Velachery,Biryani,6.0,24.0,50.0,335,5.0,Card
ORD1079,2026-08-20,OMR,Fast Food,5.0,16.0,39.0,95,5.0,Wallet
ORD1033,2026-08-09,Anna Nagar,Fast Food,2.3,14.0,23.0,166,4.9,Cash
ORD1043,2026-08-11,OMR,Chinese,5.5,18.0,35.0,395,3.7,Card
ORD1007,2026-08-02,Velachery,Biryani,2.8,19.0,28.0,475,,UPI
ORD1062,2026-08-16,OMR,South Indian,4.2,18.0,34.0,315,5.0,Cash
ORD1055,2026-08-14,Adyar,North Indian,2.8,10.0,18.0,155,4.8,UPI
ORD1029,2026-08-08,Velachery,Desserts,4.1,19.0,32.0,156,,Cash
ORD1069,2026-08-18,Velachery,Biryani,9.2,20.0,55.0,455,4.9,Card
ORD1100,2026-08-26,Velachery,South Indian,3.6,12.0,28.0,218,5.0,Card
ORD1051,2026-08-13,Adyar,Fast Food,5.0,26.0,40.0,185,4.7,Cash
ORD1001,2026-08-01,OMR,South Indian,4.4,23.0,41.0,284,4.0,UPI
ORD1060,2026-08-16,Velachery,South Indian,2.1,22.0,36.0,12800,5.0,UPI
ORD1063,2026-08-16,Velachery,Chinese,5.0,23.0,44.0,312,5.0,UPI
ORD1002,2026-08-01,Adyar,Biryani,4.7,26.0,46.0,409,4.3,UPI
ORD1066,2026-08-17,Velachery,Biryani,4.0,23.0,41.0,420,,Card
ORD1022,2026-08-06,Adyar,Biryani,3.8,21.0,38.0,433,4.8,UPI
ORD1090,2026-08-23,Velachery,Fast Food,9.1,14.0,41.0,321,5.0,Wallet
ORD1081,2026-08-21,Anna Nagar,North Indian,5.9,24.0,41.0,221,5.0,UPI
ORD1026,2026-08-07,Velachery,Desserts,2.2,23.0,185.0,90,5.0,Cash
ORD1014,2026-08-04,Velachery,South Indian,5.7,11.0,35.0,285,4.3,UPI
ORD1039,2026-08-10,Velachery,Fast Food,6.4,19.0,38.0,296,5.0,Cash
ORD1093,2026-08-24,Velachery ,North Indian,4.7,19.0,41.0,150,4.9,Card
ORD1044,2026-08-12,OMR ,Fast Food,8.8,13.0,46.0,295,4.6,Card
ORD1020,2026-08-06,Anna Nagar,South Indian,9.4,,54.0,253,5.0,UPI
ORD1096,2026-08-25,T Nagar,North Indian,3.8,17.0,,214,5.0,Card
ORD1038,2026-08-10,Anna Nagar,Desserts,7.3,26.0,,204,4.3,Wallet
ORD1116,2026-08-30,OMR,South Indian,4.5,20.0,39.0,249,3.9,UPI
ORD1010,2026-08-03,OMR,Chinese,2.2,18.0,33.0,246,4.5,UPI
ORD1041,2026-08-11,Velachery,South Indian,1.7,21.0,28.0,155,,Card
ORD1107,2026-08-27,Velachery,Fast Food,9.0,23.0,59.0,271,4.8,UPI
ORD1074,2026-08-19,OMR,Fast Food,3.2,20.0,34.0,211,4.9,Cash
ORD1019,2026-08-05,Adyar,Chinese,2.7,11.0,22.0,90,5.0,Cash
ORD1021,2026-08-06,Velachery,Desserts,3.6,20.0,37.0,135,4.3,Wallet
ORD1000,2026-08-01,Velachery,South Indian,3.7,17.0,34.0,90,4.6,UPI
ORD1072,2026-08-19,Velachery,South Indian,4.6,23.0,46.0,141,4.3,Cash
ORD1056,2026-08-15,OMR,South Indian,8.8,23.0,44.0,224,5.0,UPI
ORD1003,2026-08-01,Velachery,South Indian,2.4,11.0,26.0,98,4.7,Cash
ORD1024,2026-08-07,OMR,South Indian,5.1,10.0,31.0,341,5.0,Card
ORD1106,2026-08-27,OMR,Biryani,3.5,31.0,47.0,398,4.2,Card
