tenure_months,monthly_charges,complaints,churn
40,1082.0,0,0
4,625.0,0,0
38,903.0,0,0
4,879.0,1,1
35,1138.0,0,0
55,1459.0,1,0
24,1145.0,1,1
49,1232.0,1,0
18,780.0,2,0
1,987.0,1,1
31,1081.0,0,0
55,418.0,2,0
43,1462.0,3,1
14,636.0,1,0
16,467.0,0,0
16,1340.0,0,1
34,1486.0,1,1
35,639.0,0,0
36,666.0,1,0
13,1784.0,1,1
44,884.0,0,0
58,255.0,0,0
13,666.0,1,0
22,1451.0,2,0
28,1048.0,0,0
34,1076.0,4,1
53,1217.0,1,0
34,1053.0,1,1
58,750.0,2,0
17,372.0,1,0
39,984.0,3,1
44,515.0,1,0
50,833.0,0,0
59,1378.0,0,0
28,1012.0,1,0
36,868.0,0,0
44,870.0,0,0
5,1069.0,1,1
43,1126.0,1,0
48,455.0,1,0
33,906.0,0,0
40,1365.0,2,0
48,1076.0,1,0
29,620.0,0,0
5,646.0,1,1
39,231.0,0,0
37,612.0,1,0
16,1332.0,0,0
26,829.0,2,0
18,593.0,0,0
8,677.0,0,0
31,817.0,1,0
25,818.0,0,0
5,744.0,0,0
17,619.0,0,0
35,1041.0,1,0
4,1312.0,1,1
11,680.0,0,0
17,688.0,1,0
15,1207.0,1,1
59,411.0,0,0
54,673.0,1,0
20,737.0,0,0
35,900.0,3,1
27,768.0,0,0
15,584.0,0,0
10,943.0,0,1
42,494.0,0,0
42,327.0,1,0
59,242.0,1,0
21,1075.0,0,0
53,329.0,1,0
55,984.0,1,0
48,1051.0,2,0
48,1092.0,0,0
20,798.0,0,0
36,686.0,0,0
35,876.0,2,1
25,672.0,1,0
35,464.0,1,0
27,1227.0,1,1
6,582.0,1,0
26,1389.0,1,1
41,1004.0,3,1
50,714.0,1,0
31,981.0,0,0
2,1219.0,0,1
31,436.0,1,0
23,572.0,2,0
44,535.0,2,0
40,900.0,1,0
5,971.0,0,0
56,859.0,0,0
13,632.0,0,0
32,691.0,1,0
59,1206.0,0,0
6,1185.0,2,1
18,889.0,0,0
47,457.0,0,0
16,1038.0,0,0
38,936.0,3,0
5,926.0,0,0
9,1369.0,1,0
19,1096.0,1,1
30,558.0,1,0
34,561.0,0,0
27,1264.0,3,1
3,912.0,0,0
35,1116.0,0,0
18,818.0,0,0
26,565.0,1,0
16,947.0,3,1
2,1336.0,0,0
10,970.0,1,1
22,530.0,2,0
47,776.0,0,0
49,721.0,2,0
57,924.0,1,0
17,1179.0,2,1
55,1466.0,2,1
25,944.0,0,0
27,749.0,0,0
14,901.0,1,0
4,883.0,0,0
46,751.0,0,0
21,886.0,0,0
40,879.0,1,0
31,526.0,1,0
27,1043.0,2,1
23,770.0,1,0
7,584.0,2,1
44,1026.0,1,0
53,733.0,1,0
44,1401.0,0,0
29,1021.0,2,0
53,901.0,0,0
59,650.0,2,0
28,754.0,2,0
8,1131.0,1,0
15,669.0,0,0
40,1103.0,0,0
54,245.0,2,0
28,934.0,2,0
53,1119.0,1,0
7,975.0,0,0
8,872.0,0,0
28,1176.0,0,0
13,616.0,2,1
18,578.0,0,0
39,904.0,0,0
56,1233.0,2,0
49,1002.0,0,0
15,814.0,0,0
57,963.0,1,0
1,1005.0,0,0
2,499.0,0,0
51,200.0,1,0
12,565.0,3,1
48,424.0,1,0
25,698.0,1,0
34,512.0,1,0
33,613.0,0,0
33,1003.0,3,1
46,902.0,0,0
42,866.0,1,0
33,1372.0,0,0
50,736.0,0,0
31,761.0,0,0
6,1255.0,0,1
15,542.0,2,0
1,387.0,0,0
39,1269.0,1,0
15,979.0,0,0
35,1058.0,1,0
5,1070.0,0,0
56,1150.0,1,0
49,738.0,2,0
12,857.0,0,1
34,547.0,1,0
8,923.0,0,0
41,951.0,0,0
21,746.0,0,0
34,1083.0,1,0
20,1769.0,1,1
32,538.0,3,0
27,1133.0,0,0
23,1168.0,1,1
11,1206.0,2,1
14,646.0,2,1
42,1246.0,1,0
53,1084.0,1,0
49,851.0,1,0
36,787.0,0,0
1,964.0,0,1
47,1171.0,1,0
54,1157.0,1,0
19,1580.0,1,1
6,788.0,1,0
14,1081.0,0,0
19,767.0,2,0
22,1131.0,1,1
29,936.0,0,0
21,717.0,1,0
26,499.0,1,0
22,666.0,2,1
13,969.0,1,0
37,1338.0,0,0
44,1129.0,0,0
35,538.0,0,0
50,750.0,2,0
10,905.0,0,1
14,853.0,0,0
10,907.0,2,1
10,1117.0,0,1
18,944.0,2,1
31,670.0,0,0
13,297.0,2,0
9,770.0,0,0
1,366.0,0,0
56,819.0,0,0
19,959.0,1,1
51,460.0,0,0
36,815.0,1,0
50,752.0,0,0
2,1422.0,0,1
25,985.0,1,0
47,280.0,1,0
47,976.0,0,0
13,966.0,1,0
24,780.0,0,0
56,726.0,0,0
28,1016.0,2,1
47,1034.0,1,0
7,965.0,0,0
40,534.0,0,0
3,756.0,0,0
40,362.0,1,0
40,380.0,1,0
11,660.0,0,0
12,510.0,3,1
15,701.0,0,0
57,1568.0,0,0
56,971.0,0,0
34,556.0,0,0
54,200.0,1,0
35,567.0,0,0
36,387.0,1,0
53,200.0,1,0
21,1032.0,0,0
18,669.0,1,0
36,945.0,3,0
1,1740.0,1,1
21,894.0,0,0
13,848.0,2,1
1,917.0,0,1
28,733.0,1,0
33,564.0,0,0
9,749.0,0,0
34,1155.0,2,0
17,732.0,0,0
10,402.0,1,0
44,439.0,0,0
27,505.0,0,0
23,818.0,0,0
56,960.0,0,0
21,961.0,2,1
51,1174.0,0,0
14,758.0,0,0
37,1072.0,0,0
32,921.0,1,0
10,1037.0,1,1
59,275.0,1,0
58,1204.0,0,0
10,368.0,2,1
21,496.0,0,0
50,1069.0,1,0
6,721.0,0,0
46,1369.0,1,0
18,888.0,3,1
36,533.0,1,0
30,889.0,2,1
33,722.0,0,0
17,1309.0,0,0
31,1333.0,1,0
32,1066.0,2,1
7,723.0,0,0
44,871.0,0,0
34,1161.0,2,1
29,606.0,1,0
59,608.0,0,0
15,1102.0,0,0
44,1068.0,1,0
11,777.0,0,0
28,767.0,0,0
53,262.0,0,0
27,1202.0,0,0
26,812.0,0,0
52,419.0,1,0
19,509.0,0,0
1,580.0,1,0
3,1359.0,2,1
12,1056.0,3,1
33,448.0,1,0
57,1405.0,0,0
57,1251.0,0,0
39,532.0,0,0
18,200.0,0,0
49,1138.0,0,0
22,669.0,0,0
32,809.0,0,0
47,693.0,0,0
3,1228.0,2,1
32,1294.0,0,0
32,1093.0,0,0
15,805.0,0,0
38,929.0,0,0
43,1036.0,1,0
6,378.0,0,0
56,1223.0,2,0
29,754.0,1,0
42,929.0,0,0
56,892.0,2,0
50,1122.0,0,0
4,1171.0,0,1
31,1514.0,3,1
3,746.0,4,1
58,581.0,0,0
7,893.0,1,1
7,657.0,0,0
41,1113.0,2,0
24,613.0,0,0
53,895.0,1,0
19,1138.0,0,0
10,1160.0,1,1
30,918.0,2,0
50,1280.0,1,1
36,1243.0,1,0
14,348.0,2,0
44,966.0,0,0
32,912.0,2,0
38,769.0,2,0
46,668.0,0,0
43,873.0,1,0
7,976.0,1,1
5,943.0,0,1
29,1270.0,0,0
24,1158.0,1,1
52,684.0,2,0
12,633.0,1,0
21,1115.0,1,0
13,652.0,2,0
48,911.0,0,0
20,1004.0,1,0
27,1170.0,0,0
46,1016.0,0,0
56,1295.0,0,0
9,724.0,0,0
24,1063.0,2,1
47,665.0,2,0
49,918.0,0,0
